time,Speed Feedback RPM,Current FB Amps,Torque Feedback % Of Rated,Armature Volts,Field Amps,Armature Firing Angle (Deg) Angle that Voltage waveform fired upon for pulses,Armature Current Reference in Amps,Field Current Reference in Amps,Field Firing Angle in Degrees,Speed Reference in RPM,Incoming AC Line Voltage,RMS Model of Motor Heating 0-100% of Trip Level,Field Voltage in Volts,Roll RPM - After Gear Ratio of machine
07.03.2013 05:13:19.963821,510.764,149.337,1.03153,449.961,69.9626,61.2003,195.807,67.7733,82.4881,511.1,657.132,51.031,29.6277,119.925
07.03.2013 05:13:20.063821,510.922,159.254,1.09954,449.751,69.1134,51.6891,192.598,70.003,83.2042,511.1,656.459,51.006,27.3813,119.962
07.03.2013 05:13:20.163821,512.064,206.224,1.42521,449.071,70.2408,50.9015,130.375,70.7522,81.6815,511.1,655.672,50.9944,30.8868,120.231
07.03.2013 05:13:20.263821,510.923,146.896,1.02033,446.963,70.1555,49.3533,267.179,67.7016,81.1185,511.1,654.86,50.9781,33.1347,119.963
07.03.2013 05:13:20.363821,512.937,155.278,1.07628,449.341,70.5937,45.9091,361.746,69.3495,82.4405,511.1,654.347,50.9578,28.1907,120.436
07.03.2013 05:13:20.463821,509.839,144.745,1.00362,451.582,70.408,48.5666,355.619,69.844,82.3449,511.1,654.469,50.9467,28.9916,119.708
07.03.2013 05:13:20.563821,511.35,161.707,1.11901,452.987,69.9193,50.387,178.391,70.2482,81.8564,511.1,655.188,50.9293,30.4781,120.063
07.03.2013 05:13:20.663821,511.899,218.675,1.50965,447.312,69.6695,51.9873,132.735,71.2965,82.9175,511.1,655.181,50.9089,26.0021,120.192
07.03.2013 05:13:20.763821,510.312,268.4,1.85552,453.094,69.6919,47.1698,341.97,69.7592,82.5641,511.1,655.323,50.9008,27.2184,119.819
07.03.2013 05:13:20.863821,511.011,212.618,1.47273,449.666,69.8082,87.9856,199.155,69.6338,82.3857,511.1,655.605,50.8805,28.8475,119.983
07.03.2013 05:13:20.963821,511.832,285.816,1.9776,453.023,69.5245,50.1746,113.285,67.5266,83.7122,511.1,656.199,50.8642,25.0298,120.176
07.03.2013 05:13:21.063821,511.783,63.2344,0.441505,449.384,69.9865,91.4301,18.9624,69.0235,82.3251,511.1,656.818,50.8316,30.3001,120.165
07.03.2013 05:13:21.163821,510.849,297.779,2.06203,450.203,70.6311,63.6044,252.775,68.8321,82.467,511.1,657.117,50.8154,29.1663,119.945
07.03.2013 05:13:21.263821,510.958,174.322,1.20243,449.47,70.3696,91.0359,170.555,69.0096,82.6423,511.1,656.96,50.795,28.4181,119.971
07.03.2013 05:13:21.363821,510.758,162.44,1.12309,447.333,70.0912,51.6092,250.414,71.2173,82.9202,511.1,656.733,50.7787,29.5882,119.924
07.03.2013 05:13:21.463821,512.455,182.135,1.25736,451.798,71.1036,53.7378,159.185,69.037,83.5693,511.1,656.697,50.7706,27.5941,120.322
07.03.2013 05:13:21.563821,511.173,135.746,0.933868,447.746,68.9173,50.3668,256.844,69.3929,82.9523,511.1,656.612,50.7462,26.1537,120.021
07.03.2013 05:13:21.663821,512.617,-55.8754,-0.382789,443.544,69.6095,94.4644,-83.4284,70.731,81.8277,511.1,656.532,50.7322,27.7542,120.36
07.03.2013 05:13:21.763821,512.967,139.327,0.964386,447.853,70.5772,53.551,203.945,68.367,81.6797,511.1,656.427,50.7218,31.6284,120.443
07.03.2013 05:13:21.863821,512.272,221.442,1.52898,446.315,70.335,50.8942,117.924,69.5454,81.8948,511.1,655.843,50.6973,31.3054,120.279
07.03.2013 05:13:21.963821,512.162,96.9268,0.668358,445.311,69.662,69.0436,96.9268,69.1551,83.1308,511.1,656.612,50.6729,24.1959,120.253
07.03.2013 05:13:22.063821,511.131,61.107,0.426392,449.464,69.4941,97.9533,54.2708,69.5787,83.1461,511.1,657.588,50.6729,25.9037,120.011
07.03.2013 05:13:22.163821,510.99,50.7832,0.35096,447.148,68.7603,95.6277,113.041,67.5311,82.0844,511.1,657.872,50.6485,30.7517,119.978
07.03.2013 05:13:22.263821,509.671,225.593,1.56051,448.124,70.5324,45.5145,416.679,69.9342,82.6428,511.1,657.68,50.6404,25.8011,119.669
07.03.2013 05:13:22.363821,510.477,291.676,2.01626,449.348,69.4886,58.7531,137.537,71.1455,82.3407,511.1,657.481,50.616,29.7761,119.858
07.03.2013 05:13:22.463821,512.104,90.1257,0.625194,450.252,69.6518,83.1194,188.552,69.5018,82.1197,511.1,657.686,50.5997,31.0907,120.24
07.03.2013 05:13:22.563821,510.074,106.204,0.732445,449.177,69.0923,94.9603,68.8496,68.7199,82.3068,511.1,657.381,50.5753,29.9013,119.763
07.03.2013 05:13:22.663821,511.893,219.978,1.52083,447.112,68.1995,63.6987,221.931,69.689,82.7344,511.1,657.538,50.5671,29.6805,120.19
07.03.2013 05:13:22.763821,513.456,87.9748,0.610372,446.4,68.9502,94.465,24.4147,69.2927,82.6437,511.1,657.659,50.5509,29.1531,120.557
07.03.2013 05:13:22.863821,511.848,298.349,2.06131,446.205,69.4813,46.5091,215.897,69.0442,83.4773,511.1,657.601,50.5334,27.1298,120.18
07.03.2013 05:13:22.963821,510.489,226,1.56255,448.423,70.338,48.5907,302.093,67.4129,82.6437,511.1,658.328,50.5183,31.3845,119.861
07.03.2013 05:13:23.063821,511.618,174.078,1.39775,450.523,69.9103,60.5804,99.2056,68.539,82.3077,511.1,659.175,50.502,32.0437,120.126
07.03.2013 05:13:23.163821,510.233,-67.9546,-0.465917,444.463,69.671,109.297,121.911,70.969,82.3654,511.1,660.222,50.4817,29.5651,119.801
07.03.2013 05:13:23.263821,511.34,132.049,0.914688,449.66,70.435,72.8731,254.263,68.4995,81.8238,511.1,660.616,50.4689,30.7714,120.061
07.03.2013 05:13:23.363821,512.912,77.1509,0.532041,449.712,69.4826,101.981,-43.0516,70.6325,82.5238,511.1,660.543,50.4471,28.8927,120.43
07.03.2013 05:13:23.463821,511.124,193.528,1.34078,447.711,69.3899,80.072,173.833,70.5503,82.8278,511.1,660.5,50.4308,28.2006,120.01
07.03.2013 05:13:23.563821,509.604,116.865,0.807719,449.939,69.8744,46.355,307.301,69.6845,82.814,511.1,660.08,50.4186,27.37,119.653
07.03.2013 05:13:23.663821,510.451,181.576,1.25562,450.545,70.0312,52.5547,262.076,70.6682,82.0781,511.1,661.147,50.3913,30.2516,119.852
07.03.2013 05:13:23.763821,511.258,143.559,0.994901,447.953,69.5125,96.1084,141.036,70.9735,82.6163,511.1,662.636,50.3739,31.0945,120.041
07.03.2013 05:13:23.863821,511.576,68.4427,0.476089,445.688,70.5069,95.831,89.1143,71.2233,82.7078,511.1,662.836,50.3576,31.3647,120.116
07.03.2013 05:13:23.963821,510.385,4.63867,0.0335693,447.063,68.7244,61.5564,135.99,69.0968,82.3206,511.1,663.619,50.3494,25.8077,119.836
07.03.2013 05:13:24.063821,510.163,177.74,1.22859,449.867,68.8084,53.0004,109.588,69.7389,83.0464,511.1,663.045,50.325,29.8392,119.784
07.03.2013 05:13:24.163821,509.598,203.457,1.40996,451.328,69.9192,48.4296,279.468,68.2205,82.9193,511.1,664.16,50.3088,30.9428,119.652
07.03.2013 05:13:24.263821,510.953,73.4076,0.504567,446.585,70.8972,53.4595,163.742,70.314,82.674,511.1,663.975,50.3006,26.1834,119.97
07.03.2013 05:13:24.363821,512.729,237.068,1.63885,450.31,70.0299,60.0211,88.8701,70.4516,82.8259,511.1,663.897,50.2762,29.4069,120.387
07.03.2013 05:13:24.463821,511.895,186.948,1.29311,446.791,71.4847,70.1312,133.584,71.2194,83.3603,511.1,664.528,50.2622,24.5363,120.191
07.03.2013 05:13:24.563821,511.557,104.007,0.714134,446.55,69.1641,94.639,133.061,67.7868,82.8122,511.1,665.029,50.2518,29.2388,120.112
07.03.2013 05:13:24.663821,510.092,250.74,1.7304,448.857,70.0299,48.2053,335.216,66.8582,82.2711,511.1,663.384,50.2274,29.3278,119.768
07.03.2013 05:13:24.763821,512.455,22.2985,0.154627,445.517,71.938,105.98,-119.632,68.6721,81.5863,511.1,661.426,50.2192,28.6027,120.322
07.03.2013 05:13:24.863821,511.246,279.096,1.93487,448.109,71.0899,53.8205,224.407,70.4234,82.2617,511.1,660.689,50.1925,28,120.039
07.03.2013 05:13:24.963821,510.685,92.7764,0.640889,445.432,69.3959,55.1678,128.91,70.5114,81.5332,511.1,659.489,50.1785,32.0833,119.907
07.03.2013 05:13:25.063821,511.344,161.626,1.11494,451.485,69.4138,57.8009,137.862,69.1536,82.1558,511.1,660.471,50.1704,28.016,120.061
07.03.2013 05:13:25.163821,512.101,90.4974,0.629697,445.553,70.0882,77.5781,218.268,68.8336,81.9617,511.1,661.105,50.1541,31.8262,120.239
07.03.2013 05:13:25.263821,511.147,69.5474,0.482195,449.239,70.003,65.5507,181.925,70.0478,82.432,511.1,661.19,50.1332,29.8278,120.015
07.03.2013 05:13:25.363821,510.886,153.813,1.06205,452.41,69.4676,50.5499,242.764,69.2972,81.8903,511.1,662.152,50.1216,27.7787,119.954
07.03.2013 05:13:25.463821,511.399,178.798,1.23397,449.064,69.191,55.4965,176.356,69.0923,83.0667,511.1,663.69,50.0971,24.7299,120.074
07.03.2013 05:13:25.563821,510.178,120.365,0.831121,446.771,70.2198,52.9935,190.273,69.9432,82.6547,511.1,664.58,50.0809,29.2124,119.788
07.03.2013 05:13:25.663821,511.963,149.209,1.03065,448.176,70.094,98.0734,41.0167,67.7727,83.5212,511.1,665.084,50.0599,26.4377,120.207
07.03.2013 05:13:25.763821,509.903,179.042,1.23702,449.227,70.4606,54.5178,316.579,69.1491,82.6245,511.1,665.193,50.0483,30.3957,119.723
07.03.2013 05:13:25.863821,510.935,178.309,1.236,450.701,68.6108,68.9639,211.839,70.2079,83.6389,511.1,664.951,50.032,26.6152,119.965
07.03.2013 05:13:25.963821,510.697,3.25537,0.022377,447.995,70.0912,108.275,-21.3224,70.8778,82.89,511.1,665.47,50.0158,29.5816,119.91
07.03.2013 05:13:26.063821,511.958,113.006,0.781274,450.075,70.1235,77.2794,113.424,70.617,82.8926,511.1,665.328,50.0041,28.9097,120.206
07.03.2013 05:13:26.163821,509.574,206.549,1.42827,448.209,69.5574,49.0137,341.319,70.3469,83.1171,511.1,663.889,49.9832,29.9936,119.646
07.03.2013 05:13:26.263821,510.257,154.057,1.06204,450.659,68.3087,49.8843,264.087,68.8171,83.6481,511.1,662.551,49.9669,24.2684,119.806
07.03.2013 05:13:26.363821,511.039,70.5588,0.491348,448.266,69.2717,94.8193,121.016,70.5264,82.2455,511.1,660.749,49.9547,30.1419,119.99
07.03.2013 05:13:26.463821,510.875,171.95,1.19196,450.197,69.1993,47.9279,193.365,69.8415,82.6917,511.1,661.11,49.9344,27.1666,119.951
07.03.2013 05:13:26.563821,512.192,218.92,1.51676,450.694,69.8983,56.7233,56.3983,71.9754,82.5494,511.1,662.252,49.9181,28.4642,120.261
07.03.2013 05:13:26.663821,510.495,102.542,0.708031,446.123,70.0882,53.1738,241.707,71.0662,82.1695,511.1,663.598,49.91,30.8209,119.862
07.03.2013 05:13:26.763821,512.235,199.713,1.38554,449.477,69.9402,84.5746,68.3617,66.3961,82.5458,511.1,664.445,49.8856,27.3304,120.271
07.03.2013 05:13:26.863821,512.088,225.872,1.55208,448.427,69.7492,47.3307,301.209,69.8287,81.8034,511.1,664.211,49.8716,33.0118,120.236
07.03.2013 05:13:26.963821,510.843,125.817,0.868759,449.149,70.2123,52.066,186.529,70.3978,82.3315,511.1,664.772,49.8611,31.0022,119.944
07.03.2013 05:13:27.063821,512.07,276.864,1.91045,447.063,70.1735,46.0025,233.162,69.7518,83.3286,511.1,664.495,49.8367,29.6046,120.232
07.03.2013 05:13:27.163821,512.748,185.39,1.2828,453.429,70.5727,52.8113,57.4561,68.1831,82.4258,511.1,664.972,49.8164,30.132,120.391
07.03.2013 05:13:27.263821,510.477,0.348772,0.00523158,448.408,71.0207,56.0475,79.5922,69.3903,83.3423,511.1,665.688,49.8019,28.9944,119.858
07.03.2013 05:13:27.363821,510.074,88.8701,0.61953,452.98,69.6396,105.752,197.76,70.9361,82.326,511.1,665.542,49.7879,27.9336,119.763
07.03.2013 05:13:27.463821,509.622,261.564,1.81076,451.157,70.1196,51.1945,205.247,70.2064,82.9431,511.1,665.143,49.7635,25.8209,119.657
07.03.2013 05:13:27.563821,509.928,506.525,3.50759,449.605,70.9301,46.5692,509.618,67.4787,83.183,511.1,664.502,49.7635,24.8255,119.729
07.03.2013 05:13:27.663821,508.473,708.169,4.91784,445.296,71.254,45.7808,764.044,69.8825,82.7451,511.1,662.13,49.7425,29.082,119.387
07.03.2013 05:13:27.763821,505.606,1531.79,10.7242,441.081,72.6319,41.3718,1925.84,70.9092,82.9248,511.1,655.864,49.7269,26.3515,118.714
07.03.2013 05:13:27.863821,505.49,2645.67,18.5939,447.661,71.8693,39.1461,2916.43,70.9526,82.1951,511.1,649.149,49.7146,26.8294,118.687
07.03.2013 05:13:27.963821,500.192,4015.42,28.3741,443.701,75.5883,35.1096,4518.61,75.4702,81.1963,511.1,638.019,49.7228,31.7767,117.443
07.03.2013 05:13:28.063821,497.434,5525.91,39.0245,436.451,80.8545,31.5041,5997.18,80.7686,79.4633,511.1,622.748,49.767,39.9814,116.796
07.03.2013 05:13:28.163821,498.709,6510.13,46.0819,429.474,83.7383,27.5748,6832.08,76.339,76.8915,511.1,608.944,49.8164,46.3483,117.095
07.03.2013 05:13:28.263821,500.052,6649.94,46.8764,440.661,88.0914,25.7629,6886.77,74.6118,76.1206,511.1,599.103,49.8856,55.6233,117.41
07.03.2013 05:13:28.363821,502.542,6995.25,49.1816,436.972,90.499,24.9985,6944.06,74.6373,76.3724,511.1,594.346,49.9629,58.8995,117.995
07.03.2013 05:13:28.463821,505.376,6617.32,46.2704,450.276,89.7603,26.4661,6599.67,76.0607,80.58,511.1,593.609,50.0495,55.709,118.544
07.03.2013 05:13:28.563821,506.876,6716.43,46.9232,442.961,89.7768,27.0831,6420.36,85.7003,78.3893,511.1,595.428,50.1297,45.2508,119.012
07.03.2013 05:13:28.663821,509.421,6195.5,43.023,448.273,88.217,26.6391,6173.94,78.3518,81.1258,511.1,597.614,50.1989,37.4557,119.61
07.03.2013 05:13:28.763821,509.134,6349.8,44.1033,439.393,85.0887,27.9767,6221.06,80.2495,85.6952,511.1,600,50.2436,33.4083,119.543
07.03.2013 05:13:28.863821,509.52,5905.94,40.8338,455.055,86.1893,27.662,5926.59,79.2702,82.7608,511.1,601.947,50.3146,36.6929,119.633
07.03.2013 05:13:28.963821,510.453,5768.49,39.9396,441.658,78.3967,28.2449,5865.33,73.4679,82.7179,511.1,603.731,50.3616,16.0845,119.852
07.03.2013 05:13:29.063821,511.655,5757.34,39.7554,452.524,80.7909,30.6528,5511.89,81.8481,82.1054,511.1,604.194,50.4186,24.2355,120.135
07.03.2013 05:13:29.163821,509.818,5694.02,39.4635,451.72,82.69,28.743,5962.1,77.1944,82.1805,511.1,605.747,50.4624,27.6271,119.703
07.03.2013 05:13:29.263821,510.074,5536.86,38.3513,446.706,84.5473,28.8893,5662.91,82.4106,81.2251,511.1,606.751,50.5299,26.7259,119.763
07.03.2013 05:13:29.363821,511.576,5724.46,39.6029,452.069,78.1051,30.3864,5434.9,81.9363,84.0491,511.1,607.605,50.5834,26.8954,120.116
07.03.2013 05:13:29.463821,511.576,5390.46,37.2957,453.165,79.0622,30.1245,5430.02,84.1854,82.1832,511.1,608.46,50.616,21.4767,120.116
07.03.2013 05:13:29.563821,510.898,5641.04,39.1034,451.1,81.6223,29.9323,5687.18,83.5424,80.7056,511.1,608.866,50.6607,28.1313,119.957
07.03.2013 05:13:29.663821,510.273,5531.28,38.1769,454.476,79.4317,30.8033,5622.52,84.0692,81.6355,511.1,607.984,50.7148,29.7939,119.81
07.03.2013 05:13:29.763821,510.312,5699.39,39.552,449.477,82.5913,28.7622,5824.64,88.3472,79.2252,511.1,607.221,50.7706,39.1861,119.819
07.03.2013 05:13:29.863821,509.854,5745.78,39.7412,446.721,79.9759,28.7155,5896.18,86.1848,80.6122,511.1,607.05,50.8377,34.786,119.712
07.03.2013 05:13:29.963821,511.417,5637.62,39.0617,448.992,81.2619,30.6033,5487.64,85.9111,80.029,511.1,606.829,50.8723,37.782,120.079
07.03.2013 05:13:30.063821,511.686,5757.99,39.8598,445.631,79.6586,29.31,5625.1,86.7084,80.8602,511.1,607.27,50.9398,31.3139,120.142
07.03.2013 05:13:30.163821,511.71,5571.95,38.6222,458.278,83.0878,30.3992,5563.81,86.602,79.2517,511.1,607.947,50.9863,39.3015,120.147
07.03.2013 05:13:30.263821,510.611,5362.14,36.9274,444.549,80.5755,30.1593,5425.13,82.4837,81.0205,511.1,608.218,51.0351,34.2718,119.889
07.03.2013 05:13:30.363821,511.228,5780.37,39.9864,460.571,80.4514,30.6033,5689.95,85.9425,78.7299,511.1,608.595,51.0798,30.8143,120.034
07.03.2013 05:13:30.463821,510.817,5788.19,40.0534,447.981,84.4435,29.3147,5838.84,77.1156,79.2067,511.1,606.714,51.1281,41.3488,119.938
07.03.2013 05:13:30.563821,510.245,5577.81,38.5083,441.843,82.3206,29.4022,5664.56,85.4087,79.3387,511.1,606.494,51.1816,38.3489,119.803
07.03.2013 05:13:30.663821,511.362,5480.64,37.8094,448.814,81.8391,30.3516,5395.92,80.5441,80.4163,511.1,608.075,51.2385,35.9429,120.066
07.03.2013 05:13:30.763821,511.478,5572.76,38.4899,445.289,81.2215,30.3461,5557.79,78.6405,80.5701,511.1,608.873,51.2752,33.5401,120.093
07.03.2013 05:13:30.863821,511.288,5678.6,39.2721,457.997,83.404,28.6492,5751.08,78.9357,78.4071,511.1,608.649,51.3365,45.4537,120.048
07.03.2013 05:13:30.963821,512.088,5677.58,39.2468,450.758,84.1585,29.4086,5666.51,78.7481,82.6245,511.1,608.146,51.3911,29.2289,120.236
07.03.2013 05:13:31.063821,510.892,5732.11,39.728,443.367,85.642,28.5892,5789.4,78.2502,79.8505,511.1,607.648,51.4481,40.7979,119.955
07.03.2013 05:13:31.163821,510.343,5837.5,40.3719,454.561,85.47,29.2831,5791.76,80.242,82.5412,511.1,607.328,51.4929,38.4116,119.826
